text,cleaned_text,predicted
Jabatan Kehakiman (DOJ) Amerika Syarikat sebelum ini juga turut mendakwa pelbagai aset mewah dibeli menggunakan wang dicuri daripada 1MDB berjumlah AS$540 juta,jabat hakim doj dakwa aset mewah beli curi mdb,Negative
"Sesiapa saja datang kita alu-alukan dan kita tidak ada halangan, kerana ini adalah negara yang mengamalkan demokrasi cuma yang seperti saya katakan dulu budaya yang sentiasa dipelihara sejak dahulu adalah mengutamakan rakyat",alu halang rana amal demokrasi budaya sentiasa pelihara,Positive
Tapi mereka ada ahli Melayu yang pernah bertanding di Teluk Intan dan pernah menang di Raub.,ahli melayu tanding teluk intan menang raub,Negative
Itu pun kita iktiraf sama ada mereka berada di negara ini sebelum merdeka ataupun selepas merdeka.,iktiraf merdeka merdeka,Positive
"Malah, turut membantu individu yang dijangkiti HIV untuk mendapatkan rawatan yang baik.",bantu individu jangkit hiv rawat,Negative
Kerajaan perlu lebih serius dalam membangunkan sesetengah peralatan ketenteraan kita bagi mengurangkan kebergantungan kepada pembelian luar,raja serius bangun alat ketenteraan gantung beli,Negative
"Selepas kita periksa, kita tengok ada 2 mesin potong kayu.",periksa tengok mesin potong kayu,Negative
Saya menasihatkan jika ada peresapan air maka laluannya perlu diubah,nasihat resap ubah,Negative
"Sebelum mana-mana keputusan pelaburan dibuat, proses tadbir urus kami memerlukan semua cadangan yang tertakluk kepada penilaian risiko ketat dan kajian terperinci oleh pengurusan.",putus tadbir cadang takluk risiko ketat kaji perinci,Negative
"Di dalam aplikasi ini rakyat boleh mencari lokasi pasar tani di kawasan mereka, waktu operasi, harga semasa barangan serta mereka boleh memberi pandangan atau komen berkenaan pasar tani terlibat,",aplikasi cari lokasi pasar tani pandang komen pasar tani libat,Positive
"Ironinya, penuntut universiti yang tanpa sebarang paksaan hadir ke program pro pembangkang dihalang, malah tindakan disiplin diambil.",ironi tuntut universiti paksa hadir pro bangkang halang tindak disiplin ambil,Negative
Masyarakat Orang Asli Temiar tidak harus dianggap atau dilayan seperti penjenayah atau orang jahat kerana mereka hanya melindungi hak sebagai rakyat Malaysia secara sah,asli temiar anggap layan jenayah jahat rana lindung hak sah,Negative
Perdana Menteri juga sudah memberi penjelasan tentang isu berkenaan dalam kenyataannya dan pihak kerajaan menerima baik penjelasan itu.,nyata raja terima,Positive
Lebih 26 juta pelancong asing juga datang ke Malaysia pada 2016 dan ini dijangka meningkat kepada 30 juta menjelang 2020,lancong jangka tingkat jelang,Negative
Ini masa untuk kita memudahkan rakyat.,,Positive
"Saya akui dia pernah menolong saya dan keluarga yang kononnya berjumlah RM25,000 tetapi sebenarnya tidak sampai jumlah itu.",tolong keluarga konon rm,Negative
"Jadi, kita sediakan peraturan baharu untuk mereka bersara dan hidup dengan selesa.",sedia atur sara hidup selesa,Positive
"Biarpun orang kata belajar di sekolah ini tidak sampai ke mana, sekurang-kurangnya anak kami ada pengetahuan asas dan lebih berakhlak",biarpun ajar sekolah akhlak,Positive
Mereka harus tunjukkan komitmen.,komitmen,Positive
Jika ada di kalangan mereka yang terlibat dalam aktiviti pengganas dan tentunya mana-mana negara tidak perlu menyatakan kekhuatiran atau kegusaran terhadap apa yang dilakukan oleh kerajaan Malaysia ini,kalang libat ganas nyata kekhuatiran gusar hadap laku raja,Negative
"Justeru, kami menasihatkan orang ramai supaya mengabaikan kajian dalam talian ini",justeru nasihat abai kaji tali,Negative
Saya tidak akan lari ke kawasan lain. ,lari,Negative
"Pembangunan ini antara matlamat saya untuk memberikan wajah baharu, jika dulu tiada yang tahu di mana Bemban, tapi saya yakin Bemban mampu menjadi tumpuan masyarakat luar dan dalam Melaka",bangun matlamat wajah bemban bemban tumpu melaka,Negative
Dia kata nak bawa satu keluarga ke tanah suci.,bawa keluarga suci,Positive
Dan untuk kita ke arah menjadi sebuah negara yang berpendapatan tinggi kita tidak hanya boleh menggalakkan pekerja Malaysia menjadi pekerja yang makan gaji,arah buah galak makan gaji,Positive
Kita akan mempromosi dan meningkatkan kesedaran masyarakat India mengenai kepentingan melabur dan menggunakan peluang ini sambil berharap semua 1.5 bilion unit amanah itu dapat dilanggan dalam tempoh enam bulan selepas pelancarannya,promosi tingkat dar labur harap amanah langgan pelancar,Positive
Momentum PRU13 masih ada,momentum pru,Positive
Pilihan raya bukan sahaja mengenai parti politik tetapi memilih individu yang dapat menjaga kawasan dengan baik,pilih pilih individu jaga,Positive
Perlu diambil tindakan terhadap yang bertanggung jawab dan mereka yang mendapat manfaat dari kerja merompak kekayaan negara,ambil tindak hadap tanggung manfaat rompak kaya,Negative
Tidak peroleh apa-apa,,Positive
Aplikasi ini dibangunkan untuk menyediakan kemudahan semakan secara mudah alih kepada orang awam untuk mengetahui status pendaftaran sebagai pemilih.,aplikasi bangun sedia sema alih status daftar pilih,Positive
Ada pusat tahfiz yang menggunakan bangunan wakaf oleh masyarakat setempat sebagai pusat pengajian agama,tahfiz bangun wakaf aji agama,Positive
Semua maklumat akan disalurkan bukan hanya kepada Aseanapol (Polis Asean) tetapi kepada Interpol (Polis Antarabangsa) supaya senarai suspek atau sebarang data yang diperoleh dapat menarik perhatian antarabangsa,salur aseanapol interpol senarai suspek data tarik perhati,Negative
Mengapa kerajaan tidak bangkitkan isu ini?,raja bangkit,Positive
Kita turut menganjurkan program berkaitan keusahawanan sebagai usaha meningkatkan pendapatan mereka sekali gus meringankan beban keluarga di masa hadapan,anjur kait keusahawanan tingkat gus ringan beban keluarga hadap,Negative
"Rakyat Malaysia yang berfikiran waras akan ingat bagaimana Mahathir memulakan serangan berita palsu terhadap 1MDB, apabila menyatakan dengan salah bahawa 'RM42 bilion telah hilang', hanya untuk dibuktikan berulang kali bahawa kenyataan itu adalah salah",berfikiran waras mahathir serang berita palsu hadap mdb nyata salah rm hilang bukti ulang nyata salah,Negative
Apa yang diperkatakan orang ramai itu sebenarnya tidak mempengaruhi sedikit pun penduduk di kawasan ini.,pengaruh duduk,Negative
"Malah, ada sesetengah sekolah luar bandar didapati menunjukkan prestasi lebih baik berbanding sekolah bandar seperti di Bagan Datuk, apatah lagi jika peralatan (komputer) digunakan, pasti prestasi pada masa depan lebih cemerlang",sekolah banding sekolah bagan alat komputer cemerlang,Positive
PM sedarkah Kelantan wujud terlebih dulu sebelum Malaysia?,dar lantan wujud,Negative
Kita sudah hantar senarai calon dan iaterpulang kepada pucuk pimpinan untuk buat keputusan,hantar senarai calon iaterpulang pucuk pimpin putus,Negative
"Kebanyakan ugutan yang diterima tidak berpanjangan, ia hanya sekadar ugutan dan tidak ada tindakan daripada pihak yang mengugut",ugut terima ugut tindak ugut,Negative
Ada anasir luar yang intai kita tapi apa penting ialah kita jaga rumah tangga kita.,anasir intai jaga tangga,Positive
Kementerian amat berbesar hati dengan kesungguhan mereka yang terlibat dalam memastikan hak-hak pekerja tidak didiskriminasikan seperti yang termaktub dalam Perlembagaan,hati sungguh libat hak diskriminasi maktub lembaga,Negative
Pilihan raya penting tapi perlembagaan tak penting?,pilih lembaga,Positive
Teknokrat ini boleh dari parlimen atau sektor swasta,teknokrat swasta,Positive
"Penting buat kita kerana pada PKR, kita sentiasa utamakan hak wanita",rana pkr sentiasa hak,Negative
Ia sekaligus mewujudkan hubungan baik antara pemimpin dan masyarakat,wujud hubung pimpin,Positive
Kita semua harus bersyukur kerana kerajaan sentiasa prihatin dengan situasi semasa dan berusaha melaksanakan pelbagai projek bagi membantu meringankan beban yang ditanggung,syukur rana raja sentiasa prihatin situasi laksana bantu ringan beban tanggung,Positive
Dahulu kami tidak percaya apabila orang cakap Dr Mahathir seorang diktator,percaya cakap mahathir diktator,Negative
"Mereka ini terdiri daripada pemerhati tempatan dan juga luar negara,",perhati,Negative
"Tetapi wujud pula parti kecik yang mahu bertanding di Kelantan, sedangkan parti tersebut tidak punyai ramai ahli",wujud kecik tanding lantan ahli,Negative
Kami akan menjalankan pemeriksaan (untuk mengetahui punca kegagalan sistem),periksa punca gagal,Negative
Saya baru baca pasal kahwin muta’ah,baca pasal kahwin muta,Positive
"Kami turut menggesa Suruhanjaya Hak Asasi Manusia (Suhakam) untuk menjalankan inkuiri berhubung dakwaan pelanggaran hak asasi dalam kes terbabit dan mengemukakan laporan berhubung siasatan, penemuan dan rumusannya",gesa suruhanjaya hak asasi manusia suhakam inkuiri hubung dakwa langgar hak asasi babit muka lapor hubung siasat temu rumus,Negative
Seminar dan forum itu adalah khusus untuk memberi fokus kepada kanak-kanak agar  menjauhi diri mereka dan menutup peluang kepada penjenayah untuk melakukan jenayah,seminar forum khusus fokus kanak-kanak tutup jenayah laku jenayah,Negative
"Ini merupakan salah satu sumbangan kami kepada Kelantan pasca banjir, dan sumbangan serta bantuan tidak terhad di Kelantan sahaja, tetapi kami turut membantu mangsa banjir di negeri lain yang terlibat dengan bencana alam ini,",rupa salah sumbang lantan pasca banjir sumbang bantu lantan bantu mangsa banjir libat bencana,Negative
Sudah  tiba masanya untuk Mukhriz berhenti memutarbelitkan fakta dengan sengaja untuk menyelamatkan dirinya dan tampil bersih,mukhriz henti memutarbelitkan fakta sengaja selamat tampil bersih,Negative
Kita mempunyai MoU (Memorandum Persefahaman) dengan Arab Saudi dalam bidang keselamatan dan kita akan terus berkongsi pengalaman dan kepakaran Malaysia dalam deradikalisasi untuk pengganas khususnya daesh,mou memorandum persefahaman arab saudi selamat kongsi pakar deradikalisasi ganas khusus daesh,Negative
"Sebab itu dihujahkan se­tiap perkara berlaku terutama se­kali berkaitan politik, ia tercetus bukan secara tidak sengaja tetapi disusun sedemikian rupa",hujah se tiap laku se kali kait cetus sengaja susun rupa,Negative
Ia juga mungkin menyebabkan gangguan bekalan elektrik jika percikan arka (flashover) berlaku,ganggu bekal elektrik percik arka flashover laku,Negative
Kita telah membuat lawatan dan pemeriksaan ke kilang tersebut sejurus kejadian yang menimpa mangsa dilaporkan,lawat periksa kilang jurus timpa mangsa lapor,Negative
"takut, letih dan bimbang tidak dapat keluar dari situ",takut letih bimbang situ,Negative
"Jika berlaku demikian maka ia adalah rasuah, atau disebut dengan istilah ‘kick back’. ",laku rasuah istilah kick,Negative
Saya rasa orang ramai tidak mempunyai wang,,Positive
Semua orang tahu kerjaaan sudah mencuba skim seperti ini dengan orang Melayu dan masih ada orang Melayu miskin,kerjaaan mencuba skim melayu melayu miskin,Negative
Gelombang senyap,gelombang senyap,Positive
"Pelaksanaan penyelenggaraan itu dibantu oleh pihak bomba yang akan menentukan piawaian keselamatan yang ditetapkan,",laksana selenggara bantu bomba piawai selamat,Positive
Ambil sahaja tindakan tarik balik sijil halal di hotel-hotel ini,ambil tindak tarik sijil halal hotel,Positive
"Jadi itulah sebab saya ingin jadikan tahun ini tahun teristimewa dan saya akan bekerja lebih kuat, malah timbalan saya pun akan kerja lebih gigih lagi",istimewa kuat timbal gigih,Positive
Selesaikan masalah mereka dengan JPPM,selesai jppm,Negative
"UMNO dan Perdana Menteri, Datuk Seri Najib Razak menarik lebih banyak minat daripada wanita berbanding parti pembangkang dan Dr Mahathir",razak tarik banding bangkang mahathir,Negative
"Tidak kira Parlimen atau DUN, paling mustahak bukan kerusi kami rebutkan, tetapi solidariti daripada kami dan seluruh pengundi juga jentera parti",dun mustahak kerusi rebut solidariti undi jentera,Positive
"Ringkasnya kawalan ke atas dana parti politik di Malaysia terlalu longgar, atau sebenarnya, langsung tiada,",ringkas kawal longgar langsung,Negative
"Kerajaan juga memberi alasan bahawa pada 2014 sehingga 2016 tiada kejadian banjir monsun melanda Pulau Pinang, kecuali kejadian banjir kilat sahaja",raja alas banjir monsun landa pulau pinang kecuali banjir kilat,Negative
Kehadiran diplomat Israel ini adalah satu tamparan ke atas umat Islam dan perdana menteri perlu tampil memberi penjelasan mengenai perkara ini,hadir diplomat israel tampar umat tampil,Negative
Kita mahu mulakan episod baru,episod,Negative
Ini kerana kerajaan yang ada pada hari ini menghargai masyarakat luar bandar,rana raja,Negative
Saya dapat rasakan perasaannya seperti apa yang saya rasai semasa berumur 11 tahun untuk memahami apa yang sedang berlaku,asa rasai umur paham laku,Negative
"Kami akan mengemaskini perkembangan terkini, sebaik saja kerja penyelenggaraan selesai,",mengemaskini kembang selenggara selesai,Negative
KKM memandang serius dan amat kesal dengan kejadian kematian bayi ini kerana ia merupakan kes yang boleh dielakkan,kkm pandang serius kesal mati bayi rana rupa elak,Negative
"Jika kerajaan benar-benar mahu membantu kaum India, mereka patut membantu dari segi perumahan",raja bantu kaum patut bantu,Negative
ramai yang berpandangan bahawa kredibiliti sistem pilihan raya perlu ditingkatkan,pandang kredibiliti pilih tingkat,Negative
Tindakan Speaker tidak membenarkan usul dan soalan-soalan berkenaan skandal 1MDB dibentangkan atau ditanya memberi tanggapan bahawa beliau menjadi sekutu untuk menutup skandal rasuah,tindak speaker usul skandal mdb bentang tanggap sekutu tutup skandal rasuah,Negative
Kita menjanjikan kepada mereka bahawa agenda itu tidak bermusim tetapi perlu mendapat mandat untuk merealisasikannya,janji agenda musim mandat realisasi,Negative
"Kecurian, penyeludupan memang berlaku dan dilakukan penjenayah dari negara jiran, sampaikan kalau buat kerja kat ladang, kami tak boleh tinggal barang, kalau tak habis hilang.",curi seludup laku laku jenayah jiran ladang tinggal barang habis hilang,Negative
"Saya sekali lagi ucapkan selamat menyambut ulang tahun ke-40 kepada semua warga PNB, dan saya yakin masa depan PNB akan terus cemerlang",selamat sambut ulang ke- warga pnb pnb cemerlang,Positive
"Ketika sesi pengundian sedang berlangsung, ada ejen tempat mengundi yang menjaga kaunter pengundian",undi langsung ejen undi jaga undi,Positive
"Kita ambil contoh di Johor, ada yang wujudkan persepsi bahawa orang Cina dan Singapura telah menekan orang Melayu, lalu dipinggirkan. ",ambil contoh johor wujud persepsi cina tekan melayu pinggir,Negative
"Kerana ia akan menjadi pilihan raya umum paling penting dalam sejarah Malaysia, di mana ia akan menentukan sama ada terdapat perubahan Kerajaan Persekutuan di Putrajaya buat kali pertama dalam 61 tahun",rana pilih sejarah ubah raja sekutu putrajaya,Positive
Sebenarnya niatnya memang tidak mahu memberikan peruntukan kepada kita,niat,Positive
Tiada halangan bagi mereka yang masih belum mendaftar sebagai pemilih untuk berbuat demikian selagi Daftar Pemilih belum diwartakan,halang daftar pilih daftar pilih warta,Negative
Ia amat merugikan negara,rugi,Negative
"Pilihan raya dapat dilaksanakan dengan lebih murah, mudah dan cekap, malah keputusannya boleh diprogramkan dan dicapai secara langsung",pilih laksana murah cekap putus capai langsung,Positive
"Ini negara apa sebenarnya, nyanyi pun salah",nyanyi salah,Negative
Jadi ia tidak ada kaitan dengan pilihan raya,kait pilih,Positive
"Mengikut fail cukai kita, tidak ada. ",fail cukai,Negative
"Sekarang saya jumpa industri dan tanya kepada mereka, apakah yang mereka mahu?",jumpa,Positive
Kita sudah tingkatkan pemantauan rapi dengan mengambil pelbagai tindakan seperti memasang jaring keselamatan,tingkat pantau rapi ambil tindak pasang jaring selamat,Negative
Kami akan memastikan bahawa kebajikan pekerja dari Kemboja dilindungi,kebaji kemboja lindung,Positive
Ada kebimbangan mengenai dasar awam dalam kalangan pengundi terutamanya di kawasan orang miskin luar bandar,bimbang kalang undi miskin,Negative
"Walaupun akta ini digubal, ia tidak bermakna kerajaan mengawal freedom of speech rakyat",akta gubal makna raja freedom speech,Positive
"Kita tanya menteri besar, beliau kata jumpa pegawai daerah. ",jumpa daerah,Positive
"Saya mungkin akan sambung ijazah undang-undang, dan sudah tentu saya akan cuba kuruskan badan.",sambung ijazah undang cuba kurus badan,Positive
"Malah Presiden Pas sendiri, Datuk Seri Abdul Hadi Awang pernah kata saya ibarat mayat hidup tunggu nak tanam saja, saya telan semua cemuhan dengan sabar seperti pesanan kedua-dua Allahyarham ibu dan ayah",pas awang mayat hidup tunggu tanam telan cuh sabar pesan allahyarham ayah,Negative
"Jelaslah Tsunami Melayu Johor bukan semata-mata kerana pengaruh Pengerusi Bersatu, Tan Sri Muhyiddin Yassin.",tsunami melayu johor rana pengaruh muhyiddin yassin,Negative
Saya bersetuju dengan pegangan Yang Amat Berhormat Perdana Menteri mengenai perkara ini.,tuju pegang hormat,Negative
Kita juga mohon KKM untuk mempertimbangkan bagi menambah pusat dialisis di Chemomoi kerana agak jauh untuk mereka datang ke Hospital Bentong,mohon kkm timbang dialisis chemomoi rana hospital bentong,Negative
"Pilihan raya ini kelihatan lebih kepada survivalnya, bukan kepentingan parti atau negara.",pilih lihat survivalnya,Positive
"Ia merupakan suatu kezaliman terhadap anak, isteri dan keluarga Mazlan.",rupa zalim hadap isteri keluarga mazlan,Negative
"Saya mungkin akan bertanding di Putrajaya, mungkin di Kubang Pasu, atau di Raub (Pahang) mungkin",tanding putrajaya kubang pasu raub pahang,Positive
Pendakwaan akan dilakukan dan pengadilan akan dibuat di Malaysia,dakwa laku adil,Negative
Bila sudah peroleh segala maklumat disahkan itu baru kita boleh dakwa,sah dakwa,Negative
Inilah jawapan yang beliau berikan baru-baru ini dalam perbicaraan RCI,jawapan ikan bicara rci,Positive
"Kita masih tak mampu untuk mengeluarkan peralatan persenjataan, apatah lagi menghasilkan kepingan artileri yang asli",alat senjata keping artileri asli,Negative
"Saya tidak boleh dedahkan perincian perbincangan aspek teknikal yang turut dihadiri oleh AGC, namun kita akan cuba bawa perkara ini (rangka perundangan berita palsu) ini kepada Kabinet secepat mungkin",dedah perinci bincang aspek teknikal hadir agc cuba bawa rangka undang berita palsu kabinet cepat,Negative
"Semua orang tahu, semua pemilik tanah yang membuat perjanjian dengan pemaju untuk membangunkan tanah mereka menjadi unit terbina",milik janji maju bangun bina,Positive
Kerajaan berusaha menyelaraskan  harga khususnya untuk outlet di Sabah dan Sarawak,raja selaras khusus outlet,Positive
Kita akan sentiasa bergabung antara satu sama lain,sentiasa gabung,Positive
"Tidak sepatutnya bekas Perdana Menteri mengeluarkan kata-kata begitu, kita ahli UMNO pernah bersamanya semasa zaman beliau berhadapan pelbagai tohmahan.",patut ahli zaman hadap tohmahan,Negative
"Justeru, kita mengadakan mesyuarat bahagian dan keseluruhannya, ahli jawatankuasa (AJK) menyuarakan pendapat dan meminta saya berganding bersama Budiman menjadi calon PRU-14.",justeru ahli ajk suara ganding budiman calon pru-,Positive
ahli akademik dan penganalisis politik Malaysia Bridget Welsh berkata PRU kali ini masih penuh dengan ketidaktentuan.,ahli akademik analis bridget welsh pru penuh ketidaktentuan,Negative
"Bukan hanya pengetahuan dalam tawhid dan fiqh, tetapi juga pengetahuan praktikal berdasarkan realiti sosial",tawhid fiqh praktikal realiti sosial,Negative
"Tetapi tidak ada tindakan yang diambil, jadi saya selaku ahli Parlimen dari Sabah kerajaan persekutuan sudah membuat kesalahan, kami mahu minta ganti balik RM8 bilion ini.",tindak ambil ahli raja sekutu salah ganti rm,Negative
" Gunakan pendekatan agama, motivasi… kita juga dah bincang  dengan Agensi Anti Dadah Kebangsaan (AADK) untuk mengadakan pelbagai program kesedaran untuk  golongan muda",agama motivasi bincang agens anti dadah bangsa aadk dar golong muda,Negative
"Malah, tekanan ke atas tentera dan Kaunselor Myanmar, Aung San Suu Kyi juga perlu diteruskan dan di perhebatkan bagi membela nasib masyarakat Islam yang ditindas di sana",tekan tentera kaunselor myanmar aung san suu kyi hebat bela nasib tindas,Negative
"Mungkin ada yang merasa terdapat kelakuan yang tidak senonoh dalam klip video tersebut, namun ia hanyalah untuk hiburan",laku senonoh klip video hibur,Negative
"Jadi ada ramai pula yang nak meniaga, dia kutuk",kutuk,Negative
"Atas kejayaan ini, saya ucap tahniah kepada kepimpinan Tan Sri Abdul Wahid Omar dan Datuk Abdul Rahman Ahmad",jaya tahniah pimpin wahid omar rahman,Positive
Kerajaan sedar dan telah mengambil langkah pantas.,raja dar ambil,Positive
Sepatutnya orang tepuk tangan sokong saya tapi sebaliknya. Itu tak betul,patut tepuk tangan sokong,Negative
"Gerakan ialah parti yang baik, tetapi orangnya (Liang) tidak baik kerana menipu, janji mahu tolong macam-macam, tetapi tidak buat",gera liang rana tipu janji tolong,Negative
masuk ke gelanggang bukan untuk membela nasib rakyat atau menyelamatkan negara seperti mana mereka canangkan tetapi sekadar mahu memenuhi nafsu politik merebut kekuasaan yang seolah-olah tidak mampu dibendung lagi.,masuk gelanggang bela nasib selamat canang penuh nafsu rebut olah bendung,Negative
"Pelabuhan Klang ketika ini adalah pelabuhan ke-12 terbesar di dunia, jadi kita nak buat secara holistik",labuh klang labuh ke- holistik,Positive
"Oleh itu, beberapa orang bekas pelajar, yang sekarang ini merupakan pimpinan di dalam organisasi masing-masing",ajar rupa pimpin organisasi,Positive
"Jaguh sukan lahir bukan sebab keturunan, ketokohan muncul dengan latihan berterusan. Jadi, ia perlu direncana secara berstruktur, tentu Kementerian Belia dan Sukan akan diberi peruntukan lebih besar kerana sukan bukan hanya untuk suka-suka",jaguh lahir tokoh muncul latih rencana struktur belia rana suka,Positive
"Jadi, tugas kita semua untuk memaklumkan dan mendidik tentang kepentingan mengambil bahagian dalam sistem demokrasi di Malaysia dengan cara betul, bukannya merosakkan undi.",tugas maklum didik ambil demokrasi merosakkan undi,Negative
"Memang kalau dikira dari segi gender, guru wanita dah atasi guru lelaki dan tak ada lah kita nak lantik guru lelaki sahaja jadi guru disiplin  sebab kemasukan wanita ke Institut Pendidikan Guru ( IPG) dah 70 peratus.",gender guru guru lelaki lantik guru lelaki guru disiplin masuk institut didik guru ipg atus,Positive
Saya harap kerajaan negeri mempercepatkan proses kelulusan dan pewartaan tanah itu sebab proses mengukur sudah pun selesai tahun lalu,harap raja cepat kelulus warta ukur selesai,Negative
SPR masih kekal dengan keputusan itu adalah wajib untuk semua pihak termasuk gabungan pembangkang PKR menghormatinya.,spr putus wajib masuk gabung bangkang pkr hormat,Negative
Saya harap pemimpin akan datang bawa perkara ini (kenegaraan bersama) lebih baik untuk rakyat Malaysia,harap pimpin bawa,Negative
Artikel itu yang mendakwa saya menerima RM100 juta daripada Kuok (Tan Sri Robert Kuok) yang dibayar selama 4 tahun sejak pilihan raya umum (PRU) lalu.,artikel dakwa terima rm kuok robert kuok bayar pilih pru,Negative
"Kita menetapkan setiap peluang pekerjaan yang ditawarkan haruslah minimum RM1,500 sebulan",tawar minimum rm,Positive
Ini adalah fitnah terbesar kerana hidangan babi dalam gambar itu sangat sensitif kepada umat Islam.,fitnah rana hidang babi gambar sensitif umat,Negative
Kita mahukan pembangkang yang konstruktif dan bukannya destruktif kerana tiada pembangunan dapat dilaksanakan dengan kehadiran pembangkang yang sentiasa bersikap negatif,mahukan bangkang konstruktif destruktif rana bangun laksana hadir bangkang sentiasa sikap negatif,Negative
Kerajaan akan terus berusaha untuk melahirkan lebih ramai usahawan tani atau agropreneur berpendapatan tinggi di negara ini sekali gus bagi memenuhi permintaan produk makanan yang kian meningkat di dalam negara dan peringkat antarabangsa,raja lahir usahawan tani agropreneur gus penuh makan kian tingkat,Negative
Ditambah dengan dasar-dasar yang dibuat termasuk dasar pembangunan 30 tahun turut menjadi pendorong kepada seluruh kepimpinan negeri memberi sokongan kepada beliau bagi membolehkan ia menjadi realiti,masuk bangun dorong pimpin sokong realiti,Negative
Kami telah menerima permohonan untuk menjadikan flat perumahan sedia ada menjadi bilik darjah tingkatan enam dan kementerian telah meluluskan peruntukan RM15 juta bagi projek tersebut,terima mohon flat sedia bilik darjah tingkat lulus rm,Negative
Bukan semua yang dilakukan oleh kerajaan membawa keburukan kepada rakyat,laku raja bawa keburu,Negative
Rata-ratanya menolak Barisan Nasional (BN) atas isu-isu yang melanda,tolak baris landa,Negative
"Kalau mereka dibiarkan bertugas dengan keadaan tidak sihat, kesihatan mereka akan bertambah teruk kerana mereka tidak selesa dan ini akan menjejaskan produktiviti perkhidmatan awam",biar tugas sihat teruk rana selesa jejas produktiviti khidmat,Negative
"Saya lebih suka jika kita fokus kepada cara untuk selesaikan hutang negara, kadar GST akan dikurangkan di Malaysia bukan sebagaimana negara luar yang meningkat kadar GST bagi menyelesaikan soal hutang",suka fokus selesai hutang gst tingkat gst selesai hutang,Negative
Hal ini jelas membuktikan bahawa aduan-aduan berkenaan datangnya daripada kumpulan dedak sistematik yang tujuannya hanya satu iaitu mengharamkan parti Bersatu,bukti adu kumpul dedak sistematik tuju haram,Negative
"Sebaliknya, pengundi Melayu amat terkejut dengan kempen yang begitu agresif",undi melayu kejut kempen agresif,Positive
"Ada yang nampak boleh menang di peringkat awal sahaja, selepas bergelar wakil rakyat, bertukar menjadi wakil rakyat selalu hilang",nampak menang gelar wakil tukar wakil hilang,Negative
"Tetapi, saya tidak nampak nama itu,",nampak nama,Positive
Melayu Johor akan bangkit untuk mempertahankan hak mereka yang telah dimusnahkan oleh pemimpin BN,melayu johor bangkit tahan hak musnah pimpin,Negative
"Dia juga melihat kesan kumulatifnya, yang saya rasa pada umurnya sekarang dan selepas melalui semua itu, ianya cukup.",lihat kesan kumulatif umur ianya,Negative
"Dalam keadaan terdesak ini, mungkin kerajaan akan jual (aset itu) kepada mana-mana pihak sebab nak dapatkan duit",desak raja jual aset duit,Negative
Pelbagai dakwaan pembangkang terhadap pelaburan China di Malaysia yang dikatakan memberi kesan negatif terhadap negara hanya bertujuan mencetuskan kemarahan rakyat terhadap kerajaan,dakwa bangkang hadap kesan negatif hadap tuju cetus marah hadap raja,Negative
"Sebagai penjawat awam, tuan puan adalah tulang belakang kerajaan dan segala yang kita (kerajaan) harapkan untuk membantu kebajikan rakyat serta membangunkan negara",jawat tuan puan tulang raja raja harap bantu kebaji bangun,Positive
"Saya rasa niat itu sangat mulia, kerajaan mempunyai niat sangat mulia",niat mulia raja niat mulia,Positive
"Bagaimanapun, pelancongan sering berubah-ubah dan kadang-kadang tidak dapat diramalkan kerana corak perjalanan dan sentimen dipengaruhi oleh pelbagai faktor.",lancong ubah kadang ramal rana corak sentimen pengaruh faktor,Negative
